date,tickets,WindSpeed,Precipitation,Snow,Temperature,holidays,weekdays,pickup
2015-03-27,29656.0,4.25,0.27,0.0,42.5,0,1,75889.0
2015-03-28,22305.0,7.61,0.0,0.0,33.0,0,1,83219.0
2015-03-29,8561.0,6.26,0.0,0.0,35.5,0,0,67861.0
2015-03-30,30065.0,7.83,0.0,0.0,45.0,0,0,56108.0
2015-03-31,30912.0,5.37,0.17,0.0,41.0,0,1,70076.0
2015-04-01,32059.0,5.14,0.0,0.0,41.5,0,1,61281.0
2015-04-02,29654.0,6.26,0.0,0.0,54.0,0,1,65459.0
2015-04-03,25656.0,6.71,0.04,0.0,61.5,0,1,68241.0
2015-04-04,21172.0,10.07,0.01,0.0,51.0,0,1,62229.0
2015-04-05,6485.0,4.92,0.0,0.0,51.5,0,0,52464.0
2015-04-06,32797.0,4.25,0.0,0.0,52.5,0,0,48001.0
2015-04-07,33671.0,6.93,0.15,0.0,52.0,0,1,60935.0
2015-04-08,28606.0,11.41,0.0,0.0,41.0,0,1,63993.0
2015-04-09,28464.0,8.95,0.0,0.0,40.0,0,1,69146.0
2015-04-10,26430.0,4.7,0.17,0.0,47.5,0,1,72828.0
2015-04-11,20876.0,8.72,0.0,0.0,50.5,0,1,74060.0
2015-04-12,9080.0,3.36,0.0,0.0,54.5,0,0,60723.0
2015-04-13,32559.0,4.7,0.0,0.0,59.0,0,0,50676.0
2015-04-14,34704.0,3.8,0.01,0.0,60.0,0,1,56463.0
2015-04-15,30409.0,6.26,0.0,0.0,61.5,0,1,59200.0
2015-04-16,36991.0,6.49,0.0,0.0,58.0,0,1,69804.0
2015-04-17,34822.0,5.14,0.08,0.0,63.0,0,1,74708.0
2015-04-18,23062.0,4.25,0.0,0.0,69.5,0,1,84748.0
2015-04-19,9003.0,8.5,0.0,0.0,56.0,0,0,70058.0
2015-04-20,25080.0,7.38,1.37,0.0,51.5,0,0,69555.0
2015-04-21,36989.0,6.04,0.2,0.0,58.5,0,1,61301.0
2015-04-22,32260.0,6.49,0.05,0.0,58.5,0,1,73213.0
2015-04-23,37757.0,9.17,0.0,0.0,46.5,0,1,81695.0
2015-04-24,35880.0,8.5,0.0,0.0,45.5,0,1,88780.0
2015-04-25,22935.0,5.59,0.0,0.0,50.0,0,1,95451.0
2015-04-26,8844.0,5.14,0.0,0.0,55.0,0,0,79637.0
2015-04-27,33184.0,5.82,0.0,0.0,55.5,0,0,57861.0
2015-04-28,36497.0,7.83,0.0,0.0,60.5,0,1,61786.0
2015-04-29,31891.0,5.59,0.0,0.0,64.0,0,1,67821.0
2015-04-30,37205.0,8.05,0.0,0.0,57.5,0,1,75232.0
2015-05-01,35321.0,5.14,0.0,0.0,56.0,0,1,83399.0
2015-05-02,22222.0,2.91,0.0,0.0,61.0,0,1,95648.0
2015-05-03,8666.0,2.46,0.0,0.0,65.5,0,0,72869.0
2015-05-04,33852.0,5.37,0.0,0.0,71.0,0,0,58837.0
2015-05-05,36846.0,4.03,0.0,0.0,75.5,0,1,68614.0
2015-05-06,33916.0,4.92,0.0,0.0,66.0,0,1,72352.0
2015-05-07,37939.0,2.24,0.0,0.0,68.0,0,1,78625.0
2015-05-08,35396.0,2.91,0.0,0.0,69.0,0,1,81982.0
2015-05-09,23503.0,4.25,0.0,0.0,63.5,0,1,89345.0
2015-05-10,8957.0,3.58,0.0,0.0,72.0,0,0,72642.0
2015-05-11,34259.0,3.8,0.0,0.0,77.0,0,0,63065.0
2015-05-12,36844.0,5.37,0.0,0.0,75.0,0,1,70511.0
2015-05-13,34058.0,7.38,0.0,0.0,61.5,0,1,76362.0
2015-05-14,32342.0,3.8,0.0,0.0,61.5,0,1,83928.0
2015-05-15,36785.0,3.36,0.0,0.0,65.0,0,1,90153.0
2015-05-16,20973.0,2.01,0.3,0.0,66.0,0,1,110432.0
2015-05-17,8923.0,2.01,0.02,0.0,73.5,0,0,85981.0
2015-05-18,34776.0,4.7,0.0,0.0,67.5,0,0,69039.0
2015-05-19,36948.0,2.46,0.0,0.0,69.5,0,1,76998.0
2015-05-20,34022.0,6.93,0.0,0.0,60.5,0,1,82239.0
2015-05-21,39060.0,2.68,0.0,0.0,57.0,0,1,85887.0
2015-05-22,36255.0,6.04,0.0,0.0,64.5,0,1,78306.0
2015-05-23,21598.0,4.47,0.0,0.0,59.5,0,1,71968.0
2015-05-24,7588.0,3.8,0.0,0.0,68.5,0,0,62862.0
2015-05-25,5702.0,4.92,0.0,0.0,74.5,1,0,54972.0
2015-05-26,37073.0,5.14,0.0,0.0,77.5,1,0,66320.0
2015-05-27,32858.0,5.14,0.08,0.0,77.5,0,1,80323.0
2015-05-28,36573.0,4.03,0.0,0.0,77.5,0,1,85915.0
2015-05-29,36440.0,4.03,0.0,0.0,75.0,0,1,89265.0
2015-05-30,23249.0,5.59,0.0,0.0,76.0,0,1,95886.0
2015-05-31,7534.0,5.59,1.46,0.0,72.0,0,0,88982.0
2015-06-01,29309.0,10.29,0.72,0.0,54.5,0,0,84732.0
2015-06-02,33952.0,6.26,0.37,0.0,52.5,0,1,88523.0
2015-06-03,35711.0,4.7,0.0,0.0,61.0,0,1,79159.0
2015-06-04,39898.0,5.14,0.0,0.0,59.5,0,1,86109.0
2015-06-05,36780.0,2.91,0.13,0.0,62.5,0,1,93140.0
2015-06-06,23557.0,4.7,0.19,0.0,68.0,0,1,93452.0
2015-06-07,10189.0,3.8,0.0,0.0,64.5,0,0,81605.0
2015-06-08,35312.0,6.04,0.06,0.0,71.0,0,0,69949.0
2015-06-09,37865.0,4.92,0.01,0.0,75.5,0,1,74947.0
2015-06-10,34965.0,3.13,0.0,0.0,73.5,0,1,79295.0
2015-06-11,38093.0,4.47,0.0,0.0,80.5,0,1,92698.0
2015-06-12,38000.0,4.47,0.0,0.0,80.5,0,1,94188.0
2015-06-13,25145.0,5.37,0.0,0.0,79.0,0,1,92794.0
2015-06-14,11148.0,2.68,0.36,0.0,77.0,0,0,83572.0
2015-06-15,35639.0,4.7,0.57,0.0,73.5,0,0,77964.0
2015-06-16,41094.0,2.24,0.27,0.0,72.0,0,1,81726.0
2015-06-17,38235.0,3.8,0.0,0.0,74.0,0,1,85253.0
2015-06-18,41490.0,3.58,0.0,0.0,67.5,0,1,90719.0
2015-06-19,39582.0,3.8,0.0,0.0,77.5,0,1,93310.0
2015-06-20,24377.0,5.37,0.0,0.0,69.5,0,1,93875.0
2015-06-21,11266.0,4.47,0.64,0.0,79.5,0,0,82044.0
2015-06-22,40246.0,4.92,0.0,0.0,78.5,0,0,68814.0
2015-06-23,41666.0,5.82,0.02,0.0,82.5,0,1,85210.0
2015-06-24,38921.0,4.7,0.0,0.0,76.0,0,1,83524.0
2015-06-25,42479.0,3.13,0.0,0.0,74.0,0,1,91411.0
2015-06-26,69799.0,4.47,0.0,0.0,75.0,0,1,91325.0
2015-06-27,40282.0,7.38,1.12,0.0,64.5,0,1,125492.0
2015-06-28,15681.0,5.37,0.29,0.0,67.5,0,0,85993.0
2015-06-29,64891.0,4.92,0.0,0.0,69.5,0,0,68267.0
2015-06-30,72109.0,4.92,0.04,0.0,75.0,0,1,75932.0
2015-07-01,33316.0,4.25,0.39,0.0,75.5,0,1,85549.0
2015-07-02,35299.0,1.12,0.0,0.0,74.5,0,1,83595.0
2015-07-03,9124.0,2.91,0.0,0.0,74.0,1,1,69355.0
2015-07-04,3952.0,3.36,0.0,0.0,72.0,1,0,64410.0
2015-07-05,7546.0,1.57,0.0,0.0,75.5,0,0,67971.0
2015-07-06,31152.0,2.91,0.0,0.0,77.5,0,0,65272.0
